"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Botswana","BWA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","0","0","0","120750.051162702","0","0","0","0","0","0","0","0","0","0","0","7847496.97544389","5837085.94202157","10475298.9133655","9120642.15923981","2085936.48584143","5843720.16516324","","3273561.96740591","8524141.71722813","6400836.95268046","5776676.59149818","8682825.22789848","8440543.37018575","11905852.2459425","11035756.1339346","12310548.6881321","7340960.1564242","11367325.8832772","6546861.08164933","9290536.30456044","11408304.9835673","11216663.1342854","11888549.4187593","20994876.180708","127632114.029994","86026438.148339","113707028.950699","111686618.795218","109630583.524729","105704973.035782","",
"Central African Republic","CAF","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","595526016.734138","676790445.09814","718907414.137022","798410513.992925","797907068.573354","936850027.506658","980475172.129238","1303288288.41248","1446481739.64794","1663737468.54888","1788570110.75845","1712795352.63549","1685650280.80922","1763749602.37337","1882422401.27653","1950307886.66199","2287741105.57819","2592204790.23776","3212822610.21679","3563235578.78983","3543578555.33442","4479912200.99993","5454962204.47995","6456200016.4427","6959129029.20451","7083070776.64","8162785541.73677","8923454841.05939","8922065282.94892","9731280814.35961","10411408151.0838","10901911780.597","11801326421.0447","11712157364.1799","10732654496.0011","11567469044.0284","11833542181.4764","12778375678.1314","12399643967.5103","",
"Central Europe and the Baltics","CEB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35895240.6887027","39068374.0344134","34526738.1388304","84146420.6270883","230704620.474172","325634242.520398","536658461.614686","634021640.920661","703396728.020156","1154375492.43885","1138654453.26103","1144399890.82898","1445486399.91742","1818800409.38903","2535727893.52344","3227397143.7414","3691050153.49031","4750516841.49119","6522444804.20048","5642098501.17543","6416884309.21144","7225401423.94448","6701606754.96343","8151765738.96665","8465742261.35204","7822826433.69635","7682191154.14009","8536839846.38741","9419454992.27684","9493175848.90541","",
"Switzerland","CHE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","1270607658.98465","1355764633.15494","1973842303.83988","2188571312.6132","3804490338.10196","5439495139.22219","5128658497.68608","6758651745.8561","7185434330.34941","10097939311.0755","11582957409.5993","15372319908.8529","15382203942.1454","15969398396.4696","18218071358.4337","17173885280.2983","15756082543.5172","16458777496.8505","18385079921.5294","17188972873.5031","",
"Channel Islands","CHI","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","6000000","8000000","14000000","16000000","21000000","29000000","39000000","33000000","32000000","26000000","23000000","25800000","29700000","36200000","39900000","37100000","33900000","39200000","43600000","46800000","50000000","116800000","140000000","222800000","324200000","297470000","268598923.97862","250600000","257124131.150784","307300000","347500000","383708785.134996","447500000","538619514.456729","596536869.459658","726289314.412919","773559649.575888","1002083262.14173","1355531918.3821","1548577802.4741","1557776178.92262","1613695025.98146","1669939576.99982","1798469943.86926","1756957963.71231","",
"China","CHN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","543000000","420000000","792000000","1280970000","1938000000","3114004040.6535","3548126751.5953","4496604795.5981","5321253863.3468","6634081020.03558","8192067402.3259","10319466356.1387","11065271082","13039546459","14706108691","17748983437","21033078371","22613800781.52","22022366054.63","23979580207.69","28746479819.35","35782953953.25","34370466477.86","",
"Cote d'Ivoire","CIV","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10319419.0655553","9564997.89037462","21998032.3022728","21246859.012743","20431903.4664347","17445634.8002486","18450982.1895712","17200746.2028344","3891114.52446654","2894134.25084923","2564225.31078638","2713440.37101132","3091086.08704534","10023144.2937899","","",
"Cameroon","CMR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1617067.43734988","0","1275817.60101255","31347.1468173486","257102.655565308","389923.098531931","453357.450664204","1695139.24067064","306193.375758881","1001706.05385994","918771.903301525","2552815.12201371","216627.876225524","3259767.46551149","4607664.38259179","1965325.68745894","572715.042506223","1714096.24381464","1934243.19419469","8216085.90185359","5231366.66687889","5710003.06601877","16177128.54201","8024777.32558118","11608865.4185158","10879607.3244314","7360598.07107211","7843699.02893266","7999881.23922634","7019482.21620281","905736.262386627","4253982.76854436","2347496.66178534","1947036.74501552","",
